step,Phi,Lambda,DeltaS,PLV,CI,GC,Virtu,AR,EthicalEta,Depth,Stage,Anomaly
1,0.2793987812961276,0.09755081337596291,1.0874961101350762,0.09945341944340705,0.10079836025833022,0.10030187274923195,0.1000501237080099,0.10045159672051666,0.0024491866240370914,0.9520693384942899,1,True
2,0.2793987812961276,0.0865783878730245,1.105157518393436,0.09816509321889655,0.1015951135215895,0.10060296761574697,0.10009998917695706,0.10093418572885597,0.0009724255029384057,0.9520693384942899,1,False
3,0.2793987812961276,0.08571476078035206,1.0839604526613378,0.09857978098175434,0.10239552379317904,0.10090588478334471,0.10015045981850228,0.10141837555773846,0.0008636270926724493,0.9520693384942899,1,False
4,0.2793987812961276,0.08485970618207778,1.0974569104264114,0.09755823835856532,0.10319529038604343,0.10120840366127655,0.1002007975721871,0.10190416491980667,0.000855054598274286,0.9520693384942899,1,False
5,0.2793987812961276,0.07401314023372621,1.0991228027330342,0.09667837052153151,0.10399484632220705,0.1015107204214359,0.10025106783361244,0.10239155339374721,0.0008465659483515685,0.9520693384942899,1,False
6,0.2793987812961276,0.07327435734299073,1.0884411758250363,0.09655535834684163,0.10479647016421631,0.10181400774495233,0.1003016611372634,0.10288054511537177,0.0007387828907354721,0.9520693384942899,1,False
7,0.2793987812961276,0.06254292235809264,1.1102025698354805,0.09629028212747844,0.1055997437361756,0.10211803778454075,0.10035250228284813,0.10337114338414025,0.0007314349848980993,0.9520693384942899,1,False
8,0.2793987812961276,0.051918307340480294,1.1024176657865281,0.09499432553103956,0.10640158242968942,0.1024211600290473,0.10040304001563985,0.10386334533029574,0.0006246150176123439,0.9520693384942899,1,False
9,0.2793987812961276,0.05,1.109600987285024,0.0936005148273772,0.10720170070082302,0.10272318022230442,0.10045321068751968,0.10435714751299352,0.0005187170879934862,0.9520693384942899,1,False
10,0.2793987812961276,0.05,1.101099732784075,0.09387822425213918,0.10800512111114441,0.10302678018645167,0.10050390733241994,0.10485255653651193,0.0004995837495787996,0.9520693384942899,1,False
11,0.2793987812961276,0.05,1.0957499119970664,0.0943496051757611,0.10881243270935426,0.10333227757883515,0.10055523938274165,0.10534958018322677,0.0004995837495787996,0.9520693384942899,1,False
12,0.2793987812961276,0.05,1.1024516306688406,0.0947302294269017,0.1096233712985511,0.10363952990868183,0.10060716261830996,0.10584822570711999,0.0004995837495787996,0.9520693384942899,1,False
13,0.2793987812961276,0.05,1.1013816251373125,0.09512646175349818,0.11043799181234719,0.10394856682185483,0.10065969049533131,0.10634850047204081,0.0004995837495787996,0.9520693384942899,1,False
14,0.2793987812961276,0.05,1.0926670789049786,0.09430626360298179,0.11125265310551634,0.10425740218800314,0.10071214960548282,0.10685040455954796,0.0004995837495787996,0.9520693384942899,1,False
15,0.2793987812961276,0.05,1.0964909385266035,0.09414447721199226,0.11206933855995005,0.10456710384703127,0.10076490315193391,0.10735394201796399,0.0004995837495787996,0.9520693384942899,1,False
16,0.2793987812961276,0.05,1.0923513526506872,0.09328760567458416,0.11288597108706362,0.1048765148852956,0.10081755746171872,0.10785911274143424,0.0004995837495787996,0.9520693384942899,1,False
17,0.2793987812961276,0.05,1.1023896459029325,0.09301820459677734,0.11370432126456112,0.10518659751765791,0.10087044032081334,0.10836592016525949,0.0004995837495787996,0.9520693384942899,1,False
18,0.2793987812961276,0.05,1.0976809373274723,0.09284657457746077,0.11452469058911979,0.10549751033765457,0.10092360644694205,0.10887436832773385,0.0004995837495787996,0.9520693384942899,1,False
19,0.2793987812961276,0.05,1.1051439778348868,0.09151893210995218,0.11534361922708831,0.10580729472863039,0.10097638707122886,0.10938445434748416,0.0004995837495787996,0.9520693384942899,1,False
20,0.2793987812961276,0.05,1.103552264845473,0.09191784152655541,0.1161662950234054,0.10611885953172591,0.1010297758467123,0.10989618571882709,0.0004995837495787996,0.9520693384942899,1,False
21,0.2793987812961276,0.05,1.0953568082321326,0.09089240096204504,0.11698845315488568,0.10642977680700959,0.10108294265367272,0.11040956140643299,0.0004995837495787996,0.9520693384942899,1,False
22,0.2793987812961276,0.05,1.0981430131628431,0.09096026859531235,0.11781338176770378,0.10674190564307924,0.10113652433792128,0.11092458695126452,0.0004995837495787996,0.9520693384942899,1,False
23,0.2793987812961276,0.05,1.1037589160282715,0.09103557848796678,0.11864111143792401,0.10705525950659292,0.10119052714898231,0.11144126795543649,0.0004995837495787996,0.9520693384942899,1,False
24,0.2793987812961276,0.05,1.1032477533865572,0.08983567057936062,0.11946782478943928,0.10736762490813918,0.1012441895097454,0.11195960238631149,0.0004995837495787996,0.9520693384942899,1,False
25,0.2793987812961276,0.05,1.0997246944385923,0.08864412049917898,0.12029355516286837,0.1076789831356775,0.10129750609174105,0.11247958827793335,0.0004995837495787996,0.9520693384942899,1,False
26,0.2793987812961276,0.05,1.0997370267359312,0.08732610529092166,0.1211179314201308,0.10798907588991367,0.10135038987790011,0.11300122292206974,0.0004995837495787996,0.9520693384942899,1,False
27,0.2793987812961276,0.05,1.09587315910877,0.08776350991095835,0.12194622806447403,0.10830100626723517,0.10140390202287682,0.11352451415949481,0.0004995837495787996,0.9520693384942899,1,False
28,0.2793987812961276,0.05,1.0946020224894308,0.08754897529782751,0.12277649756116499,0.10861361478182115,0.1014576468056375,0.11404946593591327,0.0004995837495787996,0.9520693384942899,1,False
29,0.2793987812961276,0.05,1.103097557094271,0.08701878304671151,0.12360780123998469,0.10892632945060261,0.10151142780783241,0.11457608031968936,0.0004995837495787996,0.9520693384942899,1,False
30,0.2793987812961276,0.05,1.103534184609573,0.08722064103402191,0.1244423435646852,0.10924046255050715,0.10156569751271985,0.11510436378811485,0.0004995837495787996,0.9520693384942899,1,False
31,0.2793987812961276,0.05,1.1036375848840232,0.08696583739763845,0.12527876289581868,0.10955518970436826,0.10162017237533673,0.11563432009520261,0.0004995837495787996,0.9520693384942899,1,False
