t,Φ,λ,ΔS,ΔC,Depth
1,0.2627468840378574,0.09200000000000001,1.170698549358513,0.3547468840378574,0.9483583900445598
2,0.26011941519747883,0.08399358885435625,1.1095880904083426,0.010633879986022332,0.9487194507658243
3,0.257518221045504,0.08598954752493579,1.0155861569333533,0.0006052354813953498,0.9490752677231247
4,0.254943038835049,0.08798731647568962,1.092382871251138,0.0005774132597011206,0.9494259215191427
5,0.25239360844669845,0.07998635195206089,1.1431406234005623,0.010550394911979288,0.949771491691965
6,0.2498696723622315,0.0719861257702024,1.1403728268265971,0.01052416226632541,0.9501120567141568
7,0.24737097563860913,0.06398612509964993,1.226880253922773,0.01049869739417486,0.9504476939928981
8,0.24489726588222305,0.05598585224014788,1.1771222967727881,0.010473982615888111,0.9507784798711102
9,0.24244829322340083,0.05798482439328788,1.064421104191129,0.00045000050568222427,0.9511044896295122
10,0.24002381029116684,0.049982573429585946,1.1111031780559992,0.010426733895935958,0.9514257974895441
11,0.23762357218825517,0.05197864565159008,1.0936028348583295,0.0004041658809075255,0.9517424766170981
12,0.23524733646637255,0.05397260155357764,1.0731008616534017,0.00038227981989508164,0.9520545991270033
13,0.2328948631017089,0.04596401557837078,1.1534115331288013,0.010361059339870471,0.9523622360882107
14,0.23056591447069177,0.0379524758717681,1.1065300429588503,0.010340488337619802,0.9526654575296268
15,0.22826025532598487,0.029937584035061852,1.1481261628708774,0.010320550981413157,0.9529643324465502
16,0.22597765277272497,0.021918954876082364,1.1209013360762035,0.0103012317122394,0.9532589288076638
17,0.22371787624499775,0.013896216159184845,1.164665503939446,0.01028251524462473,0.9535493135625402
18,0.22148069748254773,0.01586900835456814,1.0554721012571469,0.00026438656706673225,0.9538355526496202
19,0.2192658905077223,0.01783698438729079,1.0829889963151533,0.0002468309421027881,0.9541177110046228
20,0.21707323160264508,0.009799809386326342,1.1204300004678391,0.010229833906041652,0.9543958525693544
21,0.21490249928661861,0.001957351047651165,1.1790814422227158,0.01001319065470166,0.9546700403008778
22,0.21275347429375244,0.003908916929621197,1.0984352446917345,0.00019745911089613655,0.9549403361810103
23,0.2106259395508149,0.005854397886020427,1.0336800419266292,0.0001820537865382943,0.9552068012261207
24,0.20851968015530678,0.007793505363566479,1.08923755496442,0.00016715191796207174,0.9554694954971927
25,0.20643448335375367,0.009725961769218165,1.0281194022288782,0.00015274039590143507,0.9557284781101306
26,0.20437013852021618,0.011651500225465397,1.062521628407779,0.00013880637729024592,0.9559838072462771
27,0.20232643713501397,0.01356986432748064,1.050772263610652,0.000125337283186977,0.9562355401631217
28,0.20030317276366386,0.005480807902321434,1.128106367332138,0.010112320796509311,0.9564837332051755
29,0.19830014103602717,0.0019032868680368385,1.1407262790355548,0.0055805527619212925,0.9567284418149883
30,0.19631713962566694,0.0018954037387294582,1.1041812701068576,0.0019908845396676145,0.9569697205442904
31,0.19435396822941023,0.0018873037103892183,1.099846813902187,0.0019712714245969376,0.9572076230652384
32,0.19241042854711615,0.0037662997858848636,1.038566928340195,6.454360679844506e-05,0.9574422021817455
33,0.190486324261645,0.0018704898983224836,1.1235093927850683,0.0038199141730335395,0.9576735098408806
34,0.18858146101902853,0.003732283916154513,1.0454609682080767,4.306922478441999e-05,0.9579015971443212
